tweet_id,author_id,created_at,text,clean_text
1911193116217929947,1772849405873557504,2025-04-12 23:02:01+00:00,"#SomaticHealing #TraumaRecovery
#traumatherapy #traumatherapist #mentalhealth #healingispossible #somatictherapy #somatictherapist #compassionateinquiry #somaticexpericing",somatichealing traumarecovery traumatherapy traumatherapist mentalhealth healingispossible somatictherapy somatictherapist compassionateinquiry somaticexpericing
1911193074929193240,16275858,2025-04-12 23:01:51+00:00,"RT @dlhampton: 5 Ways to Work With Your Mind to Stop Negative Thoughts https://t.co/pV5rW9nmOf

Instead of going to the scary places ur #mi…",rt ways to work with your mind to stop negative thoughts instead of going to the scary places ur mi
1911193025633493316,16275858,2025-04-12 23:01:40+00:00,"RT @dlhampton: Does Your Compassion Include Yourself? https://t.co/7gYG1KmmYA 

It's all OK. Extend yourself the same #kindness and #unders…",rt does your compassion include yourself its all ok extend yourself the same kindness and unders
1911193007925108874,16275858,2025-04-12 23:01:35+00:00,"RT @dlhampton: Sex Suicide and Serotonin https://t.co/kR5vAzCiXR

#divorce #depression #suicide #braininjury #amreading #mentalhealth #book…",rt sex suicide and serotonin divorce depression suicide braininjury amreading mentalhealth book
1911192956230389977,16275858,2025-04-12 23:01:23+00:00,"RT @dlhampton: How to Use Mindfulness as a Mentalhealth Tool to Beat Depression &amp; Anxiety
by Debbie Hampton https://t.co/6jYW7FySuG

You ca…",rt how to use mindfulness as a mentalhealth tool to beat depression amp anxiety by debbie hampton you ca
1911192933153575078,16275858,2025-04-12 23:01:18+00:00,"RT @dlhampton: How #Listening To Music Benefits Your Brain https://t.co/yOps4419IX

Because #music is structural, mathematical, and archite…",rt how listening to music benefits your brain because music is structural mathematical and archite
1911192908096503831,16275858,2025-04-12 23:01:12+00:00,"RT @dlhampton: 5 Ways To Improve Your Mental Health https://t.co/qO2n19404e

Your #mentalhealth impacts every part of your life. When you i…",rt ways to improve your mental health your mentalhealth impacts every part of your life when you i
1911192863603380697,16275858,2025-04-12 23:01:01+00:00,"RT @dlhampton: When you change the way you #think, you #change your brain and life. 👍 😊

Beat #Depression and #Anxiety by Changing Your Bra…",rt when you change the way you think you change your brain and life beat depression and anxiety by changing your bra
1911192670221013118,1906362308491608066,2025-04-12 23:00:15+00:00,"https://t.co/tJbB8gizwU

Going live! Tune in to hear some insight on decision paralysis, and how to combat it! #mentalhealth #socialhealth #positivity #twitch #streaming #vtuber",going live tune in to hear some insight on decision paralysis and how to combat it mentalhealth socialhealth positivity twitch streaming vtuber
1911192644186779991,1127938313061634049,2025-04-12 23:00:09+00:00,Don't wait—your mental health matters. 💙 Take the first step toward wellness. Book your appointment today! #YouMatter #MentalHealth https://t.co/a85gfFWWGQ,dont waityour mental health matters take the first step toward wellness book your appointment today youmatter mentalhealth
1911192538678964560,107899673,2025-04-12 22:59:44+00:00,"“When God wants to bless you, He gives you people.”

Join us on 23 April to Take Charge of Your Life! https://t.co/xhwPGG7y4H

#ThriveTogether #Community #MentalHealth https://t.co/lUTJIFgMO9",when god wants to bless you he gives you people join us on april to take charge of your life thrivetogether community mentalhealth
1911191181092069815,1635583724837322752,2025-04-12 22:54:20+00:00,@GordonBrown #swindon #wiltshirepolice #newworldorder #agenda2030 #crewe #mentalhealth #devizes #salisbury #macclesfield #southswindon #swindonnorth #westswindon #oldtownswindon #swindontown #royalairforce #oxford #oxfordshire #gloucester #cirencester #cricklade #gwh https://t.co/ykJCfmitO7,swindon wiltshirepolice newworldorder agenda crewe mentalhealth devizes salisbury macclesfield southswindon swindonnorth westswindon oldtownswindon swindontown royalairforce oxford oxfordshire gloucester cirencester cricklade gwh
1911191171717607772,68688801,2025-04-12 22:54:18+00:00,"Master Your Mind: Overcoming Negative Thoughts
#MentalDiscipline #NegativeThoughts #MindsetMatters #OvercomingFear #SelfReflection #EmotionalWellbeing #PersonalGrowth #Mindfulness #MentalHealth #LifeSkills https://t.co/N8TzJqt8W1",master your mind overcoming negative thoughts mentaldiscipline negativethoughts mindsetmatters overcomingfear selfreflection emotionalwellbeing personalgrowth mindfulness mentalhealth lifeskills
1911190243799089178,1635583724837322752,2025-04-12 22:50:36+00:00,#PIP #DWP #ESA #Counciltax #winterfuelallowance #universalcredit #DisabilityBenefits #DisabilityRebellion #mentalhealth #devizes #salisbury #wiltshirepolice #stratton #macclesfield #cheshireeast #crewe #altrincham #swindon #southswindon #oldtownswindon https://t.co/hmdE8spWKH,pip dwp esa counciltax winterfuelallowance universalcredit disabilitybenefits disabilityrebellion mentalhealth devizes salisbury wiltshirepolice stratton macclesfield cheshireeast crewe altrincham swindon southswindon oldtownswindon
1911190184118329855,879210763365359618,2025-04-12 22:50:22+00:00,"I'm fighting to keep my car and stay on my feet after a tough time. If you can help, I'd be so grateful. Sharing this means the world too. Thank you for being there! ❤
#fundraising #pleasehelp #thankful #MentalHealth #healing 
 https://t.co/T85RBoZgbU",im fighting to keep my car and stay on my feet after a tough time if you can help id be so grateful sharing this means the world too thank you for being there fundraising pleasehelp thankful mentalhealth healing
